#GENE	CONDITION	INHERITANCE	AGE GROUP
A2M	Alpha-2-macroglobulin deficiency	AD	N/A
A4GALT	Blood group, P system	BG	Pediatric
AAAS	Achalasia-addisonianism-alacrimia syndrome	AR	Pediatric
AAGAB	Keratoderma, palmoplantar, punctate type IA	AD	N/A
AARS	Charcot-Marie-Tooth disease, axonal, type 2N; Epileptic encephalopathy, early infantile, 29	AD/AR	N/A
AARS2	Leukoencephalopathy, progressive, with ovarian failure	AR	Pediatric
AASS	Hyperlysinemia	AR	N/A
ABAT	GABA-transaminase deficiency	AR	N/A
ABCA1	ABCA1 deficiency; Tangier disease; HDL deficiency, type 2	AR	Pediatric
ABCA12	Ichthyosis, harlequin; Ichthyosis, lamellar, type 2	AR 	N/A
ABCA3	Surfactant metabolism dysfunction, pulmonary, 3; Interstitial lung disease	AD/AR	Pediatric
ABCA4	Cone-rod dystrophy 3; Retinitis pigmentosa 19; Stargardt disease 1; Retinal dystrophy, early-onset severe; Fundus flavimaculatus	AR	N/A
ABCA5	Hypertrichosis terminalis, generalized, with or without gingival hyperplasia	AR	N/A
ABCB1	Colchicine metabolism, association with	AD	Pediatric
ABCB11	Cholestasis, progressive familial intrahepatic 2	AD/AR	Pediatric
ABCB4	Cholestasis, progressive familial intrahepatic 3; Low phospholipid-associated cholelithiasis 1;  Cholestasis, oral contraceptives induced; Cholestasis, familial intrahepatic, of pregnancy; Gallbladder disease 1	AD/AR	Pediatric
ABCB6	Blood group, Langereis system	BG	Pediatric
ABCB7	Anemia, sideroblastic, and spinocerebellar ataxia	XL	N/A
ABCC11	Apocrine gland secretion, variation in	AR	N/A
ABCC2	Dubin-Johnson syndrome	AD/AR	N/A
ABCC6	Pseudoxanthoma elasticum	AD/AR/Digenic	Pediatric
ABCC8	Diabetes mellitus, transient neonatal, 2; Diabetes, permanent neonatal; Hyperinsulinemic hypoglycemia, familial, 1; Hypoglycemia, leucine-induced	AD/AR	Pediatric
ABCC9	Cardiomyopathy, dilated, 10; Atrial fibrillation, familial 12; Cantu syndrome	AD	Pediatric
ABCD1	Adrenoleukodystrophy	XL	Pediatric
ABCD3	Bile acid synthesis defect, congenital, 5	AR	Pediatric
ABCD4	Methylmalonic aciduria and homocystinuria, cblJ type	AR	Pediatric
ABCG2	Blood group, junior system	BG	Pediatric
ABCG5	Sitosterolemia	AR	Pediatric
ABCG8	Sitosterolemia	AR	Pediatric
ABHD12	Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract	AR	N/A
ABHD5	Chanarin-Dorfman syndrome	AR	N/A
ABO	Blood group, ABO system	BG	Pediatric
ACAD8	Isobutyryl-CoA dehydrogenase deficiency	AR	Pediatric
ACAD9	Acyl-CoA dehydrogenase family, member 9, deficiency of	AR	Pediatric
ACADM	Acyl-CoA dehydrogenase, medium chain, deficiency of	AR	Pediatric
ACADS	Acyl-CoA dehydrogenase, short-chain, deficiency of	AR	Pediatric
ACADSB	2-methylbutyryl-CoA dehydrogenase deficiency	AR	N/A
ACADVL	Acyl-CoA dehydrogenase, very long chain, deficiency of	AR	Pediatric
